id,popularity,original_title,genres,release_year
135397,32.985763,Jurassic World,Action,2015
135397,32.985763,Jurassic World,Adventure,2015
135397,32.985763,Jurassic World,Science Fiction,2015
135397,32.985763,Jurassic World,Thriller,2015
76341,28.419936,Mad Max: Fury Road,Action,2015
76341,28.419936,Mad Max: Fury Road,Adventure,2015
76341,28.419936,Mad Max: Fury Road,Science Fiction,2015
76341,28.419936,Mad Max: Fury Road,Thriller,2015
262500,13.112507,Insurgent,Adventure,2015
262500,13.112507,Insurgent,Science Fiction,2015
262500,13.112507,Insurgent,Thriller,2015
140607,11.173104,Star Wars: The Force Awakens,Action,2015
140607,11.173104,Star Wars: The Force Awakens,Adventure,2015
140607,11.173104,Star Wars: The Force Awakens,Science Fiction,2015
140607,11.173104,Star Wars: The Force Awakens,Fantasy,2015
168259,9.335014,Furious 7,Action,2015
168259,9.335014,Furious 7,Crime,2015
168259,9.335014,Furious 7,Thriller,2015
281957,9.1107,The Revenant,Western,2015
281957,9.1107,The Revenant,Drama,2015
281957,9.1107,The Revenant,Adventure,2015
281957,9.1107,The Revenant,Thriller,2015
87101,8.654359,Terminator Genisys,Science Fiction,2015
87101,8.654359,Terminator Genisys,Action,2015
87101,8.654359,Terminator Genisys,Thriller,2015
87101,8.654359,Terminator Genisys,Adventure,2015
286217,7.6674,The Martian,Drama,2015
286217,7.6674,The Martian,Adventure,2015
286217,7.6674,The Martian,Science Fiction,2015
211672,7.40416499999999,Minions,Family,2015
211672,7.40416499999999,Minions,Animation,2015
211672,7.40416499999999,Minions,Adventure,2015
211672,7.40416499999999,Minions,Comedy,2015
150540,6.326804,Inside Out,Comedy,2015
150540,6.326804,Inside Out,Animation,2015
150540,6.326804,Inside Out,Family,2015
206647,6.200282,Spectre,Action,2015
206647,6.200282,Spectre,Adventure,2015
206647,6.200282,Spectre,Crime,2015
76757,6.189369,Jupiter Ascending,Science Fiction,2015
76757,6.189369,Jupiter Ascending,Fantasy,2015
76757,6.189369,Jupiter Ascending,Action,2015
76757,6.189369,Jupiter Ascending,Adventure,2015
264660,6.118847,Ex Machina,Drama,2015
264660,6.118847,Ex Machina,Science Fiction,2015
257344,5.984995,Pixels,Action,2015
257344,5.984995,Pixels,Comedy,2015
257344,5.984995,Pixels,Science Fiction,2015
99861,5.944927,Avengers: Age of Ultron,Action,2015
99861,5.944927,Avengers: Age of Ultron,Adventure,2015
99861,5.944927,Avengers: Age of Ultron,Science Fiction,2015
273248,5.8984,The Hateful Eight,Crime,2015
273248,5.8984,The Hateful Eight,Drama,2015
273248,5.8984,The Hateful Eight,Mystery,2015
273248,5.8984,The Hateful Eight,Western,2015
260346,5.749758,Taken 3,Crime,2015
260346,5.749758,Taken 3,Action,2015
260346,5.749758,Taken 3,Thriller,2015
102899,5.573184,Ant-Man,Science Fiction,2015
102899,5.573184,Ant-Man,Action,2015
102899,5.573184,Ant-Man,Adventure,2015
150689,5.556818,Cinderella,Romance,2015
150689,5.556818,Cinderella,Fantasy,2015
150689,5.556818,Cinderella,Family,2015
150689,5.556818,Cinderella,Drama,2015
131634,5.476958,The Hunger Games: Mockingjay - Part 2,War,2015
131634,5.476958,The Hunger Games: Mockingjay - Part 2,Adventure,2015
131634,5.476958,The Hunger Games: Mockingjay - Part 2,Science Fiction,2015
158852,5.462138,Tomorrowland,Action,2015
158852,5.462138,Tomorrowland,Family,2015
158852,5.462138,Tomorrowland,Science Fiction,2015
158852,5.462138,Tomorrowland,Adventure,2015
158852,5.462138,Tomorrowland,Mystery,2015
307081,5.337064,Southpaw,Action,2015
307081,5.337064,Southpaw,Drama,2015
254128,4.907832,San Andreas,Action,2015
254128,4.907832,San Andreas,Drama,2015
254128,4.907832,San Andreas,Thriller,2015
216015,4.71040199999999,Fifty Shades of Grey,Drama,2015
216015,4.71040199999999,Fifty Shades of Grey,Romance,2015
318846,4.648046,The Big Short,Comedy,2015
318846,4.648046,The Big Short,Drama,2015
177677,4.566713,Mission: Impossible - Rogue Nation,Action,2015
214756,4.564549,Ted 2,Comedy,2015
207703,4.503789,Kingsman: The Secret Service,Crime,2015
207703,4.503789,Kingsman: The Secret Service,Comedy,2015
207703,4.503789,Kingsman: The Secret Service,Action,2015
207703,4.503789,Kingsman: The Secret Service,Adventure,2015
314365,4.062293,Spotlight,Drama,2015
314365,4.062293,Spotlight,Thriller,2015
314365,4.062293,Spotlight,History,2015
294254,3.968891,Maze Runner: The Scorch Trials,Action,2015
294254,3.968891,Maze Runner: The Scorch Trials,Science Fiction,2015
294254,3.968891,Maze Runner: The Scorch Trials,Thriller,2015
280996,3.927333,Mr. Holmes,Mystery,2015
280996,3.927333,Mr. Holmes,Drama,2015
198184,3.899557,Chappie,Crime,2015
198184,3.899557,Chappie,Action,2015
198184,3.899557,Chappie,Science Fiction,2015
254470,3.877764,Pitch Perfect 2,Comedy,2015
254470,3.877764,Pitch Perfect 2,Music,2015
296098,3.64821,Bridge of Spies,Thriller,2015
296098,3.64821,Bridge of Spies,Drama,2015
257445,3.644541,Goosebumps,Adventure,2015
257445,3.644541,Goosebumps,Horror,2015
257445,3.644541,Goosebumps,Comedy,2015
264644,3.557846,Room,Drama,2015
264644,3.557846,Room,Thriller,2015
339527,3.358321,Solace,Crime,2015
339527,3.358321,Solace,Drama,2015
339527,3.358321,Solace,Mystery,2015
105864,3.339135,The Good Dinosaur,Adventure,2015
105864,3.339135,The Good Dinosaur,Animation,2015
105864,3.339135,The Good Dinosaur,Comedy,2015
105864,3.339135,The Good Dinosaur,Family,2015
105864,3.339135,The Good Dinosaur,Fantasy,2015
241554,3.23737,Run All Night,Action,2015
241554,3.23737,Run All Night,Crime,2015
241554,3.23737,Run All Night,Drama,2015
241554,3.23737,Run All Night,Mystery,2015
241554,3.23737,Run All Night,Thriller,2015
167073,3.227329,Brooklyn,Drama,2015
167073,3.227329,Brooklyn,Romance,2015
277216,3.202719,Straight Outta Compton,Drama,2015
277216,3.202719,Straight Outta Compton,Music,2015
274854,3.080505,The Last Witch Hunter,Fantasy,2015
274854,3.080505,The Last Witch Hunter,Action,2015
274854,3.080505,The Last Witch Hunter,Adventure,2015
321697,3.079522,Steve Jobs,History,2015
321697,3.079522,Steve Jobs,Drama,2015
203801,3.053421,The Man from U.N.C.L.E.,Comedy,2015
203801,3.053421,The Man from U.N.C.L.E.,Action,2015
203801,3.053421,The Man from U.N.C.L.E.,Adventure,2015
293863,3.025852,The Age of Adaline,Fantasy,2015
293863,3.025852,The Age of Adaline,Drama,2015
293863,3.025852,The Age of Adaline,Romance,2015
325348,3.023253,Hardcore Henry,Action,2015
325348,3.023253,Hardcore Henry,Adventure,2015
325348,3.023253,Hardcore Henry,Science Fiction,2015
228161,2.976436,Home,Fantasy,2015
228161,2.976436,Home,Comedy,2015
228161,2.976436,Home,Animation,2015
228161,2.976436,Home,Science Fiction,2015
228161,2.976436,Home,Family,2015
286565,2.968254,Paper Towns,Drama,2015
286565,2.968254,Paper Towns,Mystery,2015
286565,2.968254,Paper Towns,Romance,2015
265208,2.93234,Wild Card,Thriller,2015
265208,2.93234,Wild Card,Crime,2015
265208,2.93234,Wild Card,Drama,2015
254320,2.885126,The Lobster,Thriller,2015
254320,2.885126,The Lobster,Comedy,2015
254320,2.885126,The Lobster,Drama,2015
254320,2.885126,The Lobster,Romance,2015
254320,2.885126,The Lobster,Science Fiction,2015
258480,2.883233,Carol,Romance,2015
258480,2.883233,Carol,Drama,2015
257211,2.814802,The Intern,Comedy,2015
253412,2.798017,Everest,Adventure,2015
253412,2.798017,Everest,Drama,2015
274479,2.793297,Joy,Comedy,2015
274479,2.793297,Joy,Drama,2015
257088,2.614499,Point Break,Action,2015
257088,2.614499,Point Break,Crime,2015
257088,2.614499,Point Break,Thriller,2015
295964,2.584264,Burnt,Drama,2015
238615,2.578919,Self/less,Science Fiction,2015
238615,2.578919,Self/less,Mystery,2015
238615,2.578919,Self/less,Thriller,2015
210860,2.575711,Mortdecai,Comedy,2015
210860,2.575711,Mortdecai,Adventure,2015
306819,2.557859,The Danish Girl,Drama,2015
201088,2.550747,Blackhat,Mystery,2015
201088,2.550747,Blackhat,Crime,2015
201088,2.550747,Blackhat,Action,2015
201088,2.550747,Blackhat,Thriller,2015
201088,2.550747,Blackhat,Drama,2015
273481,2.487849,Sicario,Action,2015
273481,2.487849,Sicario,Crime,2015
273481,2.487849,Sicario,Drama,2015
273481,2.487849,Sicario,Mystery,2015
273481,2.487849,Sicario,Thriller,2015
166424,2.487042,Fantastic Four,Action,2015
166424,2.487042,Fantastic Four,Adventure,2015
166424,2.487042,Fantastic Four,Science Fiction,2015
310131,2.46449,The Witch,Mystery,2015
310131,2.46449,The Witch,Horror,2015
238713,2.404473,Spy,Action,2015
238713,2.404473,Spy,Comedy,2015
238713,2.404473,Spy,Crime,2015
256591,2.395366,Focus,Romance,2015
256591,2.395366,Focus,Comedy,2015
256591,2.395366,Focus,Crime,2015
256591,2.395366,Focus,Drama,2015
249070,2.354654,Hitman: Agent 47,Action,2015
249070,2.354654,Hitman: Agent 47,Crime,2015
249070,2.354654,Hitman: Agent 47,Thriller,2015
205775,2.345821,In the Heart of the Sea,Thriller,2015
205775,2.345821,In the Heart of the Sea,Drama,2015
205775,2.345821,In the Heart of the Sea,Adventure,2015
205775,2.345821,In the Heart of the Sea,Action,2015
205775,2.345821,In the Heart of the Sea,History,2015
334074,2.331636,Survivor,Crime,2015
334074,2.331636,Survivor,Thriller,2015
334074,2.331636,Survivor,Action,2015
312221,2.331567,Creed,Drama,2015
271718,2.31767,Trainwreck,Comedy,2015
333352,2.29573,Eye in the Sky,Drama,2015
333352,2.29573,Eye in the Sky,Thriller,2015
333352,2.29573,Eye in the Sky,War,2015
276907,2.28135,Legend,Crime,2015
276907,2.28135,Legend,Thriller,2015
284289,2.272044,Beyond the Reach,Thriller,2015
266647,2.234573,Pan,Adventure,2015
266647,2.234573,Pan,Family,2015
266647,2.234573,Pan,Fantasy,2015
347096,2.165433,Mythica: The Darkspore,Action,2015
347096,2.165433,Mythica: The Darkspore,Adventure,2015
347096,2.165433,Mythica: The Darkspore,Fantasy,2015
308369,2.141506,Me and Earl and the Dying Girl,Comedy,2015
308369,2.141506,Me and Earl and the Dying Girl,Drama,2015
227973,2.140199,The Peanuts Movie,Adventure,2015
227973,2.140199,The Peanuts Movie,Animation,2015
227973,2.140199,The Peanuts Movie,Comedy,2015
227973,2.140199,The Peanuts Movie,Family,2015
321741,2.121884,Concussion,Drama,2015
296100,2.096273,The Night Before,Comedy,2015
263472,2.080935,Knock Knock,Drama,2015
263472,2.080935,Knock Knock,Horror,2015
263472,2.080935,Knock Knock,Thriller,2015
228205,2.070708,The Longest Ride,Romance,2015
228205,2.070708,The Longest Ride,Drama,2015
159824,2.060162,Hotel Transylvania 2,Animation,2015
159824,2.060162,Hotel Transylvania 2,Comedy,2015
159824,2.060162,Hotel Transylvania 2,Family,2015
333348,2.055572,Love the Coopers,Family,2015
333348,2.055572,Love the Coopers,Comedy,2015
285783,2.049886,The Walk,Adventure,2015
285783,2.049886,The Walk,Drama,2015
285783,2.049886,The Walk,Thriller,2015
290764,2.026651,Tracers,Action,2015
290764,2.026651,Tracers,Crime,2015
290764,2.026651,Tracers,Drama,2015
296099,2.000338,Vacation,Adventure,2015
296099,2.000338,Vacation,Comedy,2015
243688,1.984529,Poltergeist,Horror,2015
243688,1.984529,Poltergeist,Thriller,2015
287424,1.980039,Maggie,Horror,2015
301875,1.959765,Equals,Drama,2015
301875,1.959765,Equals,Romance,2015
301875,1.959765,Equals,Science Fiction,2015
181283,1.95632,Child 44,Crime,2015
181283,1.95632,Child 44,Thriller,2015
328425,1.926739,The Gift,Thriller,2015
328425,1.926739,The Gift,Mystery,2015
274167,1.904898,Daddy's Home,Comedy,2015
370687,1.876037,Mythica: The Necromancer,Fantasy,2015
370687,1.876037,Mythica: The Necromancer,Action,2015
370687,1.876037,Mythica: The Necromancer,Adventure,2015
307663,1.872696,Vice,Thriller,2015
307663,1.872696,Vice,Science Fiction,2015
307663,1.872696,Vice,Action,2015
307663,1.872696,Vice,Adventure,2015
309809,1.865007,The Little Prince,Adventure,2015
309809,1.865007,The Little Prince,Animation,2015
309809,1.865007,The Little Prince,Fantasy,2015
258509,1.841779,Alvin and the Chipmunks: The Road Chip,Adventure,2015
258509,1.841779,Alvin and the Chipmunks: The Road Chip,Animation,2015
258509,1.841779,Alvin and the Chipmunks: The Road Chip,Comedy,2015
258509,1.841779,Alvin and the Chipmunks: The Road Chip,Family,2015
298382,1.82313,The Dressmaker,Drama,2015
272693,1.758618,The DUFF,Romance,2015
272693,1.758618,The DUFF,Comedy,2015
283445,1.742286,Sinister 2,Horror,2015
256961,1.73518,Paul Blart: Mall Cop 2,Action,2015
256961,1.73518,Paul Blart: Mall Cop 2,Adventure,2015
256961,1.73518,Paul Blart: Mall Cop 2,Comedy,2015
256961,1.73518,Paul Blart: Mall Cop 2,Family,2015
326359,1.72471199999999,Frozen Fever,Adventure,2015
326359,1.72471199999999,Frozen Fever,Animation,2015
326359,1.72471199999999,Frozen Fever,Family,2015
254302,1.661789,High-Rise,Action,2015
254302,1.661789,High-Rise,Drama,2015
254302,1.661789,High-Rise,Science Fiction,2015
241251,1.65107799999999,The Boy Next Door,Thriller,2015
292040,1.646664,Spooks: The Greater Good,Thriller,2015
292040,1.646664,Spooks: The Greater Good,Action,2015
188222,1.532997,Entourage,Comedy,2015
252838,1.510096,The Wedding Ringer,Comedy,2015
273477,1.499614,Scouts Guide to the Zombie Apocalypse,Comedy,2015
273477,1.499614,Scouts Guide to the Zombie Apocalypse,Horror,2015
298312,1.495112,The Visit,Horror,2015
298312,1.495112,The Visit,Thriller,2015
261023,1.48324599999999,Black Mass,Crime,2015
261023,1.48324599999999,Black Mass,Drama,2015
336004,1.449072,Heist,Crime,2015
336004,1.449072,Heist,Action,2015
336004,1.449072,Heist,Thriller,2015
287903,1.448002,Krampus,Horror,2015
287903,1.448002,Krampus,Comedy,2015
287903,1.448002,Krampus,Fantasy,2015
182560,1.443406,Dark Places,Drama,2015
182560,1.443406,Dark Places,Mystery,2015
182560,1.443406,Dark Places,Thriller,2015
192141,1.41239,No Escape,Action,2015
192141,1.41239,No Escape,Thriller,2015
308639,1.40805,Dope,Crime,2015
308639,1.40805,Dope,Drama,2015
308639,1.40805,Dope,Comedy,2015
261392,1.388251,American Ultra,Comedy,2015
261392,1.388251,American Ultra,Action,2015
304357,1.388032,Woman in Gold,Drama,2015
297291,1.38032,The Scorpion King: The Lost Throne,Action,2015
297291,1.38032,The Scorpion King: The Lost Throne,Fantasy,2015
297291,1.38032,The Scorpion King: The Lost Throne,Adventure,2015
266294,1.376605,Sisters,Comedy,2015
227719,1.360926,Project Almanac,Science Fiction,2015
227719,1.360926,Project Almanac,Thriller,2015
86828,1.360827,Absolutely Anything,Comedy,2015
86828,1.360827,Absolutely Anything,Science Fiction,2015
287948,1.355822,The Transporter Refueled,Thriller,2015
287948,1.355822,The Transporter Refueled,Action,2015
287948,1.355822,The Transporter Refueled,Crime,2015
201085,1.345982,Crimson Peak,Mystery,2015
201085,1.345982,Crimson Peak,Thriller,2015
201085,1.345982,Crimson Peak,Fantasy,2015
201085,1.345982,Crimson Peak,Horror,2015
201085,1.345982,Crimson Peak,Drama,2015
277355,1.342839,Everly,Thriller,2015
277355,1.342839,Everly,Action,2015
264999,1.338481,Magic Mike XXL,Comedy,2015
264999,1.338481,Magic Mike XXL,Drama,2015
264999,1.338481,Magic Mike XXL,Music,2015
146301,1.338322,Paranormal Activity: The Ghost Dimension,Horror,2015
146301,1.338322,Paranormal Activity: The Ghost Dimension,Thriller,2015
223485,1.329702,Slow West,Romance,2015
223485,1.329702,Slow West,Thriller,2015
223485,1.329702,Slow West,Western,2015
294016,1.316239,Trumbo,Drama,2015
290751,1.315266,Secret in Their Eyes,Crime,2015
290751,1.315266,Secret in Their Eyes,Drama,2015
290751,1.315266,Secret in Their Eyes,Mystery,2015
309245,1.29314,Mistress America,Comedy,2015
228165,1.291013,The SpongeBob Movie: Sponge Out of Water,Family,2015
228165,1.291013,The SpongeBob Movie: Sponge Out of Water,Animation,2015
245706,1.284541,True Story,Crime,2015
245706,1.284541,True Story,Drama,2015
245706,1.284541,True Story,Mystery,2015
272878,1.278928,Max,Adventure,2015
272878,1.278928,Max,Drama,2015
272878,1.278928,Max,Family,2015
263109,1.25358,Shaun the Sheep Movie,Family,2015
263109,1.25358,Shaun the Sheep Movie,Animation,2015
263109,1.25358,Shaun the Sheep Movie,Comedy,2015
263109,1.25358,Shaun the Sheep Movie,Adventure,2015
157827,1.251681,Louder Than Bombs,Drama,2015
321751,1.245224,A Perfect Day,Comedy,2015
321751,1.245224,A Perfect Day,Drama,2015
266396,1.225325,The Gunman,Action,2015
266396,1.225325,The Gunman,Drama,2015
266396,1.225325,The Gunman,Crime,2015
277685,1.191138,Unfriended,Horror,2015
277685,1.191138,Unfriended,Thriller,2015
268920,1.178831,Hot Pursuit,Action,2015
