id,popularity,original_title,cast,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit_percentage
13600,0.721663,City of Ember,Saoirse Ronan|Harry Treadaway|Mary Kay Place|Bill Murray|Martin Landau,Gil Kenan,90,Adventure|Family|Fantasy,Playtone|Walden Media,10/7/08,358,6.1,2008,55703264.8595042,18097532.9732944,-0.6751082181818188
2453,0.63395,Harley Davidson and the Marlboro Man,Mickey Rourke|Don Johnson|Chelsea Field|Daniel Baldwin|Giancarlo Esposito,Simon Wincer,98,Action|Thriller,Metro-Goldwyn-Mayer (MGM)|Krisjair|Laredo,8/23/91,44,6.4,1991,36825135.3643943,11903686.5803122,-0.6767510434782622
256962,0.829111,Little Boy,Jakob Salvati|Emily Watson|Cary-Hiroyuki Tagawa|Michael Rapaport|David Henrie,Alejandro Monteverde,106,Comedy|Drama|War,Metanoia Films,4/23/15,113,7.1,2015,18399991.9040035,5906690.88105601,-0.6789840499999991
42151,0.092519,Down Terrace,Robert Hill|Robin Hill|Julia Deakin|David Schaal|Tony Way,Ben Wheatley,89,Drama|Action|Comedy,,9/1/09,15,6.5,2009,31703.5623412255,10164.0043412495,-0.6794049756347788
14499,0.187714,Mio min Mio,Nick Pickard|Christian Bale|Timothy Bottoms|Susannah York|Christopher Lee,Vladimir Grammatikov,99,Adventure|Drama|Fantasy|Family|Mystery,Gorky Film Studio|Nordisk Tonefilm International,7/1/87,11,6.1,1987,13817379.1540655,4413885.0075487,-0.6805555555555557
10388,0.274419,The Limey,Terence Stamp|Lesley Ann Warren|Luis GuzmÃ¡n|Barry Newman|Joe Dallesandro,Steven Soderbergh,89,Drama|Action|Thriller|Crime|Mystery,Artisan Entertainment,5/15/99,38,6.6,1999,13090528.4659432,4179939.26256602,-0.6806897999999997
10900,0.436441,Surveillance,Julia Ormond|Bill Pullman|Pell James|Caroline Aaron|Hugh Dillon,Jennifer Chambers Lynch,97,Thriller,Blue Rider Pictures|Lago Films|See Film,2/8/08,35,6.0,2008,3544753.21833208,1129756.40050768,-0.6812877142857164
15198,0.260903,"Mystery, Alaska",Russell Crowe|Hank Azaria|Mary McCormack|Burt Reynolds|Colm Meaney,Jay Roach,119,Comedy|Drama,Hollywood Pictures,10/1/99,35,5.8,1999,36653479.704641,11635048.8950874,-0.6825663214285712
13509,0.28269,The Monster Squad,Andre Gower|Robby Kiger|Stephen Macht|Duncan Regehr|Ryan Lambert,Fred Dekker,82,Horror|Comedy|Action|Fantasy|Science Fiction,TriStar Pictures|Keith Barish Productions|TAFT Entertainment Pictures|Home Box Office (HBO),8/14/87,58,7.0,1987,23028965.2567758,7234914.06069936,-0.6858341666666662
13075,0.367893,Sherrybaby,Maggie Gyllenhaal|Michelle Hurst|Sandra RodrÃ­guez|Danny Trejo|Brad William Henke,Laurie Collyer,96,Drama,Red Envelope Entertainment,9/8/06,14,6.5,2006,2163338.31658314,673670.041798941,-0.6885969999999993
10858,0.604331,Nixon,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins,Oliver Stone,192,History|Drama,Hollywood Pictures|Cinergi Pictures Entertainment,12/22/95,30,6.3,1995,62962542.1527065,19578152.3985437,-0.6890507954545461
56601,0.271381,The Perfect Game,"Clifton Collins, Jr.|Cheech Marin|MoisÃ©s Arias|Emilie de Ravin|Jake T. Austin",William Dear,118,Drama|Family,"HighRoad Entertainment|Prelude Pictures|Lone Runner Entertainment|Kenio Films|Perfect Game, The",4/1/10,12,5.7,2010,12500000.0,3878993.0,-0.68968056
16780,0.246647,Texas Chainsaw Massacre: The Next Generation,RenÃ©e Zellweger|Matthew McConaughey|Robert Jacks|Tonie Perensky|Joe Stevens,Kim Henkel,95,Comedy|Horror|Thriller,Ultra Muchos Productions,1/1/94,36,3.9,1994,882666.936958897,273476.697077975,-0.6901700000000001
56780,0.318142,Atlas Shrugged Part I,Taylor Schilling|Paul Johansson|Michael O'Keefe|Grant Bowler|Edi Gathegi,Paul Johansson,97,Drama|Thriller|Science Fiction|Mystery,Atlas Productions,4/14/11,37,4.8,2011,14540970.638872,4485768.26733671,-0.6915083333333318
10694,0.528782,The Chase,Charlie Sheen|Kristy Swanson|Henry Rollins|Rocky Carroll|Ray Wise,Adam Rifkin,89,Comedy|Thriller|Action|Crime,Twentieth Century Fox Film Corporation|Capitol Films|Hercules Films,3/4/94,38,5.8,1994,38248900.6015522,11782616.4925434,-0.6919488846153857
162903,0.751379,The Fifth Estate,Benedict Cumberbatch|Dan Stevens|Daniel BrÃ¼hl|Alicia Vikander|Carice van Houten,Bill Condon,128,Drama|Thriller,DreamWorks SKG|Participant Media|Reliance Entertainment|Touchstone Pictures|Anonymous Content,10/11/13,231,5.6,2013,26208933.8767318,8007772.82096115,-0.6944639999999991
10461,0.66065,Get Carter,Sylvester Stallone|Miranda Richardson|Rachael Leigh Cook|Mickey Rourke|Johnny Strong,Stephen T. Kay,102,Action|Drama|Thriller|Crime,Franchise Pictures|Warner Bros.|Morgan Creek Productions|The Canton Company,10/6/00,77,5.3,2000,80536178.4722236,24582519.9516985,-0.6947642610062899
22787,0.850476,Whiteout,Kate Beckinsale|Gabriel Macht|Tom Skerritt|Columbus Short|Shawn Doyle,Dominic Sena,101,Action|Crime|Mystery|Thriller,StudioCanal|Dark Castle Entertainment|Don Carmody Productions|Warner Bros.|Canadian Film or Video Production Tax Credit (CPTC),9/9/09,114,5.2,2009,40656017.3649981,12406212.1581413,-0.6948493000000007
12138,0.471789,3000 Miles to Graceland,Kurt Russell|Kevin Costner|Courteney Cox|Christian Slater|Kevin Pollak,Demian Lichtenstein,125,Action|Adventure|Comedy|Thriller|Crime,Franchise Pictures|Warner Bros.|Morgan Creek Productions,2/23/01,85,5.4,2001,76352263.2350183,23053673.0549291,-0.6980616935483881
10894,0.342912,May,Angela Bettis|Jeremy Sisto|Anna Faris|James Duval|Nichole Hiltz,Lucky McKee,93,Drama|Horror|Thriller|Romance,A Loopy Production LLC|2 Loop Films,1/13/02,52,5.9,2002,606130.696810273,182175.005449114,-0.6994460000000012
62630,0.363036,The Devil's Double,Dominic Cooper|Ludivine Sagnier|Raad Rawi|Mehmet Ferda|Philip Quast,Lee Tamahori,109,Drama|Action|Thriller|Crime|War,Corrino Media Corporation|Corsan|Staccato Films,2/11/11,126,6.3,2011,18515502.6134971,5552918.46974702,-0.700093560209424
27586,1.14644,The Runaways,Dakota Fanning|Kristen Stewart|Michael Shannon|Riley Keough|Stella Maeve,Floria Sigismondi,106,Drama|Music,River Road Entertainment|Road Rebel|Linson Entertainment,3/19/10,133,6.3,2010,10000000.0,2995811.0,-0.7004189
12508,0.693522,Rock Star,Mark Wahlberg|Jennifer Aniston|Jason Flemyng|Dominic West|Jason Bonham,Stephen Herek,105,Music|Drama|Comedy,Warner Bros. Pictures|Bel Air Entertainment,9/4/01,100,5.9,2001,70194822.651549,20925325.3930263,-0.7018964561403512
