id,popularity,original_title,cast,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit_percentage
23827,1.120442,Paranormal Activity,Katie Featherston|Micah Sloat|Mark Fredrichs|Amber Armstrong|Ashley Palmer,Oren Peli,86,Horror|Mystery,Blumhouse Productions|Solana Films,9/14/07,714,6.1,2007,15775.0287394731,203346220.129588,12889.386666666696
2667,0.934621,The Blair Witch Project,Heather Donahue|Michael C. Williams|Joshua Leonard|Bob Griffith|Jim King,Daniel Myrick|Eduardo SÃ¡nchez,81,Horror|Mystery,Artisan Entertainment|Haxan Films,7/14/99,522,6.3,1999,32726.321164858,324645105.955391,9918.999999999989
985,0.331417,Eraserhead,Jack Nance|Charlotte Stewart|Allen Joseph|Jeanne Bates|Judith Roberts,David Lynch,89,Science Fiction|Fantasy|Horror|Drama,American Film Institute (AFI)|Libra Films,3/19/77,194,7.1,1977,35977.8103257035,25184467.2279924,698.9999999999985
692,0.412913,Pink Flamingos,Divine|David Lochary|Mary Vivian Pearce|Mink Stole|Danny Mills,John Waters,93,Comedy,Dreamland Productions,3/12/72,51,6.3,1972,62574.7311763475,31287365.5881737,498.9999999999992
9372,0.263897,Super Size Me,Morgan Spurlock|Daryl Isaacs|Lisa Ganjhu|Stephen Siegel|Bridget Bennett,Morgan Spurlock,100,Documentary|Comedy|Drama,Kathbur Pictures,1/17/04,295,6.5,2004,75038.9509877896,32988367.3463733,438.6165846153845
299245,0.532205,The Gallows,Cassidy Gifford|Ryan Shoos|Pfeifer Brown|Reese Mishler|Price T. Morgan,Travis Cluff|Chris Lofing,87,Horror|Thriller,New Line Cinema|Blumhouse Productions|Management 360|Tremendum Pictures,7/10/15,247,5.0,2015,91999.9595200178,39251239.9294544,425.6440999999997
83,0.762134,Open Water,Blanchard Ryan|Daniel Travis|Saul Stein|Michael E. Williamson|Christina Zenato,Chris Kentis,79,Drama|Thriller,Plunge Pictures LLC,8/6/04,171,5.3,2004,150077.901975579,63111168.0124421,419.5227230769236
30497,0.906087,The Texas Chain Saw Massacre,Allen Danziger|Paul A. Partain|William Vail|Teri McMinn|Edwin Neal,Tobe Hooper,83,Horror|Thriller,Vortex,10/1/74,249,6.8,1974,375894.130523709,136467258.51566,362.04705882352823
9659,2.012021,Mad Max,Mel Gibson|Joanne Samuel|Hugh Keays-Byrne|Steve Bisley|Tim Burns,George Miller,93,Adventure|Action|Thriller|Science Fiction,Kennedy Miller Productions|Mad Max Films|Crossroads,4/12/79,667,6.5,1979,1201821.60100063,300455400.250159,249.00000000000128
948,1.198849,Halloween,Donald Pleasence|Jamie Lee Curtis|P.J. Soles|Nancy Kyes|Nick Castle,John Carpenter,91,Horror|Thriller,Compass International Pictures|Falcon International Productions,10/25/78,522,7.3,1978,1002810.20847421,233989048.643983,232.333333333334
838,0.684079,American Graffiti,Richard Dreyfuss|Ron Howard|Paul Le Mat|Charles Martin Smith|Cindy Williams,George Lucas,110,Comedy|Drama,Lucasfilm|Universal Pictures|The Coppola Company,8/1/73,145,6.5,1973,3815970.99272706,564783351.56192,147.00514800514802
5723,1.254438,Once,Glen Hansard|MarkÃ©ta IrglovÃ¡|Hugh Walsh|Gerard Hendrick|Alaistair Foley,John Carney,85,Drama|Music|Romance,Summit Entertainment|Samson Films|RTE,3/23/07,305,7.3,2007,168266.973221047,21780595.8522822,128.44070625000023
